"","Model","AIC","Mod. df.","Mod. dev.","Test df.","Test dev.","Pr(>Chi)","Test dev/df","H0      "
"1","Age",1262.27756048788,60,719.015973495487,NA,NA,NA,NA,""
"2","Age-drift",764.722528458665,59,219.460941466274,1,499.555032029213,1.18791790829792e-110,499.555032029213,"zero drift "
"3","Age-Cohort",650.182412234766,44,74.9208252423757,15,144.540116223898,2.91680999436458e-23,9.63600774825988,"Coh eff|dr."
"4","Age-Period-Cohort",637.194370153617,40,53.9327831612251,4,20.9880420811506,0.000318402564427152,5.24701052028765,"Per eff|Coh"
"5","Age-Period",720.921896538609,55,167.660309546218,15,113.727526384993,3.09266175486135e-17,7.58183509233285,"Coh eff|Per"
"6","Age-drift",764.722528458665,59,219.460941466274,4,51.8006319200561,1.51842407184704e-10,12.950157980014,"Per eff|dr."
