"","Model","AIC","Mod. df.","Mod. dev.","Test df.","Test dev.","Pr(>Chi)","Test dev/df","H0      "
"1","Age",2276.76183891347,60,1698.11908752852,NA,NA,NA,NA,""
"2","Age-drift",776.843713865827,59,196.200962480877,1,1501.91812504765,0,1501.91812504765,"zero drift "
"3","Age-Cohort",717.729059436577,44,107.086308051627,15,89.1146544292495,1.45039113365105e-12,5.94097696194997,"Coh eff|dr."
"4","Age-Period-Cohort",663.84249768277,40,45.1997462978214,4,61.8865617538059,1.16381348072251e-12,15.4716404384515,"Per eff|Coh"
"5","Age-Period",694.634022876032,55,105.991271491083,15,60.7915251932617,1.84272569465332e-07,4.05276834621745,"Coh eff|Per"
"6","Age-drift",776.843713865827,59,196.200962480877,4,90.2096909897937,1.18839568280963e-18,22.5524227474484,"Per eff|dr."
