1990	42395	40275	39295	33185	26330	24935	24165	22105	20070	16200	
1995	42362	40469	39163	36936	29185	24747	25168	23362	21321	17476	
2000	51430	53745	60910	62535	64940	51955	45285	45670	44255	42105	
2005	355661	369522	383788	371978	352475	327871	281964	250929	237242	230024	
2010	581309	577023	609351	611516	563020	535557	500145	439285	391826	378936	
2015	558462	521611	554340	583296	549774	497373	491709	444463	380552	355479	
2020	8365651	8886225	8612037	8485218	8554095	8571339	8151373	7887800	7598917	6722301	
2025	7612768	8357418	8882070	8605845	8477562	8543456	8553231	8122923	7842406	7530364	
2030	7534452	7606427	8354437	8877513	8600642	8470071	8529761	8529394	8084481	7782147	
